likes_media_likes/title,Link,Type,DateTimeStamp,DATE
1ndtheonly.c,https://www.instagram.com/p/DLU6VxSzzn0/,LIKE,1751028171,6/27/2025
andrea.durannnn,https://www.instagram.com/reel/DKX42rmxe5l/,LIKE,1750571202,6/22/2025
amcsannerice,https://www.instagram.com/p/DK48kBozFky/,LIKE,1750571125,6/22/2025
allaboutreden,https://www.instagram.com/reel/DIodbIHTw_v/,LIKE,1750310177,6/19/2025
ermdances,https://www.instagram.com/reel/DHlkidUojBy/,LIKE,1750310066,6/19/2025
waffles_the_bird,https://www.instagram.com/reel/DHj8CLkS2-K/,LIKE,1750310010,6/19/2025
ghstpunk.mp3,https://www.instagram.com/reel/DIaBHnvIo1q/,LIKE,1750309931,6/19/2025
_.1kdeee,https://www.instagram.com/reel/DFmC_GhNFBn/,LIKE,1750309842,6/19/2025
anistynsara_,https://www.instagram.com/reel/DFt3rOgOc1j/,LIKE,1750308431,6/19/2025
uq_ies,https://www.instagram.com/reel/DKFOFVWPjyP/,LIKE,1750308280,6/19/2025
marvelstudios,https://www.instagram.com/p/DKxSJUDvfGZ/,LIKE,1750308145,6/19/2025
elandz00,https://www.instagram.com/reel/DEddnzEo4nR/,LIKE,1749642717,6/11/2025
pauh816,https://www.instagram.com/p/DKt49Rxp0jH/,LIKE,1749551564,6/10/2025
doolallytat112xd,https://www.instagram.com/reel/DGyIOZmOuOJ/,LIKE,1749442299,6/9/2025
mr.rxymk,https://www.instagram.com/reel/DIbQCvrA2Im/,LIKE,1749442129,6/9/2025
karinareyl,https://www.instagram.com/reel/DIwZp1AvtCt/,LIKE,1749442032,6/9/2025
verraversa,https://www.instagram.com/reel/DG8kevFvsFP/,LIKE,1749441819,6/9/2025
thomsen.birb,https://www.instagram.com/reel/DIzxf9AOnN4/,LIKE,1749441100,6/9/2025
mcdwooo.offcl,https://www.instagram.com/reel/DKZdYOpza5Y/,LIKE,1749368902,6/8/2025
follow_the_feathers,https://www.instagram.com/reel/DEtG4d2SJOu/,LIKE,1749368806,6/8/2025
centimommy_,https://www.instagram.com/reel/DKdUtm7yGX2/,LIKE,1749368741,6/8/2025
glitter.xrs,https://www.instagram.com/reel/DFy38BWxIe3/,LIKE,1749368738,6/8/2025
thelocalmomsnetwork,https://www.instagram.com/reel/DFf1gcmuud8/,LIKE,1749368582,6/8/2025
junglejabber,https://www.instagram.com/reel/DJmFJhutFur/,LIKE,1749368412,6/8/2025
she_.writessss,https://www.instagram.com/reel/DGsSFEuN0LO/,LIKE,1749368411,6/8/2025
toshiasan,https://www.instagram.com/p/DKSJRDvKG5M/,LIKE,1749367196,6/8/2025
jnllscrvnts,https://www.instagram.com/p/DKhF7lExusp/,LIKE,1749367167,6/8/2025
pauh816,https://www.instagram.com/p/DKhO_XCJMOX/,LIKE,1749367149,6/8/2025
jnllscrvnts,https://www.instagram.com/p/DKhGJU0RovV/,LIKE,1749309150,6/7/2025
what_friends_send_me,https://www.instagram.com/reel/DGCswn5tOA-/,LIKE,1749205526,6/6/2025
flights_fables_with_fuzzy,https://www.instagram.com/reel/DECtdJSyPGd/,LIKE,1749205461,6/6/2025
britty_paige,https://www.instagram.com/reel/DEfIIEqRX5O/,LIKE,1749205356,6/6/2025
04__airyu,https://www.instagram.com/reel/DKHoYhZThu_/,LIKE,1749092296,6/5/2025
leto_bird,https://www.instagram.com/reel/DIonMbMxSiU/,LIKE,1749044606,6/4/2025
khallie1012,https://www.instagram.com/p/DKeAbDLJDhE/,LIKE,1749044562,6/4/2025
dumpiedump__,https://www.instagram.com/p/DKKFFunSnA-/,LIKE,1749044561,6/4/2025
pauh816,https://www.instagram.com/p/DKE7fwgpYUn/,LIKE,1749044558,6/4/2025
madeleine_madden,https://www.instagram.com/p/DKEY99wNiFO/,LIKE,1748172162,5/25/2025
rchlle_an,https://www.instagram.com/p/DJ89fS1Tv4g/,LIKE,1748054196,5/24/2025
amcsannerice,https://www.instagram.com/p/DJuIXpfPsFC/,LIKE,1747458288,5/17/2025
daredevil,https://www.instagram.com/p/DJnpicgR1FP/,LIKE,1747270022,5/15/2025
missramen.17,https://www.instagram.com/p/DJlElhMRMG1/,LIKE,1747270008,5/15/2025
yann.zell,https://www.instagram.com/p/DJgwfkOzcBn/,LIKE,1747050874,5/12/2025
madeleine_madden,https://www.instagram.com/p/DJfmq0SSbUg/,LIKE,1746947496,5/11/2025
mdrnkym,https://www.instagram.com/p/DJb2A9YhYiC/,LIKE,1746851801,5/10/2025
danielhenney,https://www.instagram.com/p/DJYG9Aosa1w/,LIKE,1746749452,5/9/2025
luvelyfeelings,https://www.instagram.com/reel/DG0gaqFSWxd/,LIKE,1746371828,5/4/2025
birdtoy_lab,https://www.instagram.com/reel/DGi-jz6SN2y/,LIKE,1745572769,4/25/2025
sharon_gilham_costume_design,https://www.instagram.com/p/DIPMrFDi-6J/,LIKE,1745143333,4/20/2025
madeleine_madden,https://www.instagram.com/p/DInwsd3yd8d/,LIKE,1745052960,4/19/2025
ali.channel,https://www.instagram.com/reel/DG8xgv2NImW/,LIKE,1745044114,4/19/2025
amcsannerice,https://www.instagram.com/p/DIeM16kMPfn/,LIKE,1744882166,4/17/2025
madeleine_madden,https://www.instagram.com/p/DIa041USsD9/,LIKE,1744671483,4/14/2025
iwtvimmortalfamily,https://www.instagram.com/reel/DH3sPuRs399/,LIKE,1744269598,4/10/2025
markandruuuuuuu,https://www.instagram.com/p/DH4d-hyzd72/,LIKE,1744269425,4/10/2025
madeleine_madden,https://www.instagram.com/p/DIH-VOKBuDL/,LIKE,1744213767,4/9/2025
askassignment,https://www.instagram.com/reel/DEjsOBBsbTC/,LIKE,1743942790,4/6/2025
thewheeloftime,https://www.instagram.com/p/DIB9qm1N32P/,LIKE,1743938069,4/6/2025
amcsannerice,https://www.instagram.com/p/DICO-3AxoSu/,LIKE,1743857950,4/5/2025
_seijhiro,https://www.instagram.com/p/DHfaa9Rxxxe/,LIKE,1743721908,4/3/2025
dumpiedump__,https://www.instagram.com/p/DHxNwAGSf5A/,LIKE,1743638111,4/2/2025
amcsannerice,https://www.instagram.com/reel/DHoI_LzCFHj/,LIKE,1743638105,4/2/2025
thewheeloftime,https://www.instagram.com/p/DHwM3-nNPtO/,LIKE,1743638101,4/2/2025
dumpiedump__,https://www.instagram.com/p/DHxOvO0S4wd/,LIKE,1743638091,4/2/2025
tandf_cockatiel_conure_birds,https://www.instagram.com/p/DHqWVR1S5UT/,LIKE,1743638084,4/2/2025
pauh816,https://www.instagram.com/p/DHgfrurSXO3/,LIKE,1742745802,3/23/2025
madeleine_madden,https://www.instagram.com/reel/DHIKdhtusvr/,LIKE,1742593195,3/21/2025
mc_zmdo,https://www.instagram.com/p/DHbSheiTMwt/,LIKE,1742593079,3/21/2025
sharon_gilham_costume_design,https://www.instagram.com/p/DHNmfBACYlk/,LIKE,1742550177,3/21/2025
madeleine_madden,https://www.instagram.com/p/DHUraADSxnp/,LIKE,1742263356,3/18/2025
mittensandpantstv,https://www.instagram.com/reel/DA_NKE0R7Ts/,LIKE,1742252513,3/17/2025
amcsannerice,https://www.instagram.com/reel/DHEZbR2ilfX/,LIKE,1742252303,3/17/2025
thewheeloftime,https://www.instagram.com/reel/DHEKDeaNeaY/,LIKE,1742252183,3/17/2025
amcsannerice,https://www.instagram.com/p/DG_JKOBTq86/,LIKE,1742252151,3/17/2025
danielhenney,https://www.instagram.com/p/DHPk3A9JqHF/,LIKE,1742252132,3/17/2025
its.aylson,https://www.instagram.com/p/DHE-Mr3zRwu/,LIKE,1742252105,3/17/2025
primevideo,https://www.instagram.com/p/DHRCHprJ-Mo/,LIKE,1742252094,3/17/2025
pauh816,https://www.instagram.com/p/DHTbtP9JvdH/,LIKE,1742252079,3/17/2025
madeleine_madden,https://www.instagram.com/p/DG6PsYVRV3Y/,LIKE,1741528712,3/9/2025
mittensandpantstv,https://www.instagram.com/reel/C_qLanugYT7/,LIKE,1741321952,3/7/2025
whos._venn,https://www.instagram.com/p/DG0t7Iozg4t/,LIKE,1741191212,3/5/2025
amcsannerice,https://www.instagram.com/p/DGWB6X2t9am/,LIKE,1740754156,2/28/2025
madeleine_madden,https://www.instagram.com/p/DGitxrdSEJX/,LIKE,1740699702,2/27/2025
cj_graphics_00,https://www.instagram.com/p/DGXS7K4Rwrd/,LIKE,1740211494,2/22/2025
pagetpagetgram,https://www.instagram.com/p/DGW1pUuPduj/,LIKE,1740192974,2/22/2025
cpatofficial,https://www.instagram.com/p/DGNx_v-zTou/,LIKE,1740192969,2/22/2025
theatregroupasia,https://www.instagram.com/p/DGUXlMyz-kK/,LIKE,1740139841,2/21/2025
theatregroupasia,https://www.instagram.com/p/DGUhdPvN6un/,LIKE,1740139764,2/21/2025
cj_graphics_00,https://www.instagram.com/p/DF7t-A4PEvW/,LIKE,1739852821,2/18/2025
yotaro_yy,https://www.instagram.com/reel/DECRkfNzOOK/,LIKE,1739852782,2/18/2025
cj_graphics_00,https://www.instagram.com/p/DAavY9NShD7/,LIKE,1739852679,2/18/2025
mc_zmdo,https://www.instagram.com/p/DGK1UDzzkBD/,LIKE,1739832918,2/17/2025
mc_zmdo,https://www.instagram.com/p/DGK5Y8STNiN/,LIKE,1739832898,2/17/2025
rchlle_an,https://www.instagram.com/p/DGKZG38JIGR/,LIKE,1739832883,2/17/2025
pagetpagetgram,https://www.instagram.com/p/DGJRgxgSkxm/,LIKE,1739746039,2/16/2025
tandf_cockatiel_conure_birds,https://www.instagram.com/p/DFtxacwSw4s/,LIKE,1738815247,2/6/2025
missramen.17,https://www.instagram.com/p/DFIgML2TtWE/,LIKE,1738539596,2/2/2025
bachbuquen,https://www.instagram.com/reel/DAY4QSBN93u/,LIKE,1738489627,2/2/2025
danielhenney,https://www.instagram.com/reel/DFboSDrJpmb/,LIKE,1738371736,2/1/2025
madeleine_madden,https://www.instagram.com/p/DFee4l7R1RQ/,LIKE,1738332908,1/31/2025
nathanportez,https://www.instagram.com/reel/DFPgtpASn0u/,LIKE,1737986817,1/27/2025
rchlle_an,https://www.instagram.com/p/DFPRBnDTRAk/,LIKE,1737941903,1/27/2025
madeleine_madden,https://www.instagram.com/p/DFJI67TTzh6/,LIKE,1737686618,1/24/2025
madeleine_madden,https://www.instagram.com/p/DFFFFDkSJu1/,LIKE,1737469522,1/21/2025
yann.zell,https://www.instagram.com/p/DEsMzOGTWia/,LIKE,1737379835,1/20/2025
amcsannerice,https://www.instagram.com/reel/DEqC8akMlF2/,LIKE,1737085752,1/17/2025
myfosterbabiesinlife,https://www.instagram.com/reel/DENvNH8oUF_/,LIKE,1737085693,1/17/2025
madeleine_madden,https://www.instagram.com/p/DEywc7VybyE/,LIKE,1737085673,1/17/2025
mittensandpantstv,https://www.instagram.com/reel/C_VqX6mRWug/,LIKE,1736479572,1/10/2025
1981loveann,https://www.instagram.com/reel/DD_F8WYP9Md/,LIKE,1736479363,1/10/2025
_payapang_,https://www.instagram.com/p/DEaQCVWSaAp/,LIKE,1736479318,1/10/2025
itismadlove,https://www.instagram.com/p/DERcnLWvfMj/,LIKE,1736320878,1/8/2025
abel_fiesta,https://www.instagram.com/p/DEg62ryz5BW/,LIKE,1736316771,1/8/2025
danielhenney,https://www.instagram.com/p/DEJqIYfxR0o/,LIKE,1735980192,1/4/2025
dumpiedump__,https://www.instagram.com/p/DEWkvqASD27/,LIKE,1735913523,1/3/2025
danielhenney,https://www.instagram.com/p/DB6W9lppnGW/,LIKE,1735849084,1/2/2025
krvzel,https://www.instagram.com/p/DEKBQNeR5XS/,LIKE,1735538395,12/30/2024
pauh816,https://www.instagram.com/p/DD82riTx5v_/,LIKE,1735219444,12/26/2024
jnllscrvnts,https://www.instagram.com/p/DD1YnVMxJJi/,LIKE,1734800139,12/21/2024
naro_hikari,https://www.instagram.com/p/DDkDSAtzJe6/,LIKE,1734415891,12/17/2024
pubity,https://www.instagram.com/reel/DBiqleTC-3f/,LIKE,1733564618,12/7/2024
pico_cockatiel,https://www.instagram.com/reel/DCB37NNSMEF/,LIKE,1733538337,12/7/2024
amcsannerice,https://www.instagram.com/reel/DDF3_gRAQ4q/,LIKE,1733219551,12/3/2024
amcsannerice,https://www.instagram.com/p/DCept35p8PL/,LIKE,1731933666,11/18/2024
nimbo.360,https://www.instagram.com/reel/C_vr4lEIw9n/,LIKE,1731856013,11/17/2024
amcsannerice,https://www.instagram.com/p/DCXSWNwuSsI/,LIKE,1731764225,11/16/2024
mc_zmdo,https://www.instagram.com/p/DCRsx-XPNJR/,LIKE,1731577912,11/14/2024
amcsannerice,https://www.instagram.com/p/DCMoXGjNs-L/,LIKE,1731577903,11/14/2024
forrestthetinycockatiel,https://www.instagram.com/reel/DCCYRB7SrMV/,LIKE,1731252230,11/10/2024
mc_zmdo,https://www.instagram.com/p/DB5-Pb1TpPu/,LIKE,1730732024,11/4/2024
thomsen.birb,https://www.instagram.com/reel/DAhXJYNu_7S/,LIKE,1729942472,10/26/2024
amcsannerice,https://www.instagram.com/p/DAydytLP5TL/,LIKE,1728396635,10/8/2024
markandruuuuuuu,https://www.instagram.com/p/DAdb0vpztH_/,LIKE,1727921155,10/3/2024
toshiasan,https://www.instagram.com/p/C_oFkc1KF3L/,LIKE,1726402893,9/15/2024
amcsannerice,https://www.instagram.com/p/C_59kkovMEy/,LIKE,1726402818,9/15/2024
whisper_cockatiel,https://www.instagram.com/reel/C-28xqLg5dt/,LIKE,1726399377,9/15/2024
whisper_cockatiel,https://www.instagram.com/reel/C9-annsghcX/,LIKE,1726152340,9/12/2024
oiaflol,https://www.instagram.com/reel/C_TPdXwPgoL/,LIKE,1726105470,9/12/2024
kickassk8,https://www.instagram.com/reel/C9BB-sjydsi/,LIKE,1726105462,9/12/2024
dr.krisvine,https://www.instagram.com/reel/C_CCbQnSSdz/,LIKE,1726105191,9/12/2024
mini_capybaras,https://www.instagram.com/p/C_OXSo2gE4X/,LIKE,1726040652,9/11/2024
romanne_c,https://www.instagram.com/reel/C-x8G-oONmN/,LIKE,1726027720,9/11/2024
sweetlemon_tv,https://www.instagram.com/reel/C-OzMjeyEMq/,LIKE,1725956519,9/10/2024

mc_zmdo,https://www.instagram.com/p/C_nw3UdT1nS/,LIKE,1725876063,9/9/2024


